4,7
14,1
0,27
6,24
-7,23
-1,29
-15,4
-3,10
-13,-11
-1,-8
13,-2
14,-2
25,-4
26,-16
19,9
21,8
27,18
28,17
19,39
33,39
7,34
10,38
-7,46
-4,40
-34,49
-24,43
-23,32
-19,25
-29,13
-28,13
-34,-11
-21,-5
-27,-32
-18,-32
-14,-20
-10,-20
8,-33
16,-25
28,-27
29,-32
37,-33
50,-22
34,-6
41,-12
38,0
48,6
34,21
45,33
38,36
43,43
48,60
48,65
23,59
32,63
6,59
10,58
-17,54
-8,66
-34,52
-34,63
-37,51
-36,66
-42,50
-38,48
-47,28
-42,24
-42,11
-36,6
-41,-8
-38,-7
-51,-32
-43,-18
-42,-36
-40,-47
-26,-44
-20,-39
-13,-48
-1,-37
12,-39
14,-47
24,-45
25,-50
38,-51
49,-43
53,-46
64,-38
54,-31
61,-32
51,-4
53,-15
61,1
61,12
61,25
67,30
59,41
65,34
51,52
65,62
54,70
60,70
39,77
41,71
21,82
21,84
1,74
16,81
-13,75
-1,84
-25,80
-22,68
-39,69
-39,80
-63,80
-57,82
-65,59
-58,57
-61,44
-60,44
-59,18
-53,17
-63,10
-61,5
-66,-8
-61,-16
-57,-34
-55,-33
-57,-44
-54,-39
-54,-52
-53,-61
-47,-59
-44,-67
-29,-57
-24,-55
-14,-63
-8,-65
0,-58
13,-61
20,-59
21,-63
45,-55
45,-54
60,-59
64,-58
74,-66
68,-51
73,-44
71,-19
73,-20
69,-7
81,-2
71,3
76,6
73,21
74,17
69,49
77,39
69,62
84,63
79,72
81,69
77,93
82,101
63,101
66,97
42,94
50,88
17,95
18,86
1,85
5,96
-15,96
-9,92
-34,86
-19,101
-42,86
-38,94
-68,89
-62,92
-83,96
-81,89
-75,73
-75,79
-81,63
-72,55
-81,49
-80,34
-73,18
-71,25
-78,14
-74,4
-83,-5
-81,-13
-74,-21
-72,-30
-75,-45
-75,-36
-79,-58
-69,-67
-75,-74
-70,-84
-63,-77
-62,-82
-41,-78
-38,-78
-21,-80
-20,-69
-4,-85
-1,-73
2,-79
14,-79
17,-72
27,-78
40,-85
44,-73
52,-75
64,-77
71,-82
73,-79
96,-79
96,-69
86,-53
96,-54
86,-45
92,-47
93,-29
94,-29
94,-5
98,-4
90,3
99,9
87,23
90,17
91,40
99,43
91,58
100,53
88,70
88,77
86,96
96,98
98,115
99,116
74,110
78,117
59,111
63,107
34,112
47,117
23,113
25,114
5,108
12,108
-14,115
-3,105
-31,107
-28,118
-47,107
-37,105
-67,110
-60,113
-84,113
-78,110
-95,109
-95,118
-90,94
-87,95
-93,68
-87,69
-100,58
-99,58
-102,50
-90,35
-102,27
-86,20
-90,7
-88,2
-99,-1
-95,-2
-90,-19
-86,-23
-98,-38
-96,-44
-96,-67
-89,-54
-102,-74
-99,-72
-102,-88
-98,-100
-71,-93
-69,-93
-65,-93
-58,-96
-51,-99
-50,-99
-34,-96
-26,-88
-17,-90
-11,-88
1,-86
8,-87
22,-101
27,-93
40,-100
44,-91
53,-93
67,-100
68,-91
79,-100
89,-88
90,-100
103,-87
108,-94
113,-80
114,-82
110,-61
117,-60
107,-40
107,-35
110,-34
112,-32
103,-9
112,-12
102,16
118,14
102,17
109,20
108,42
114,49
107,65
116,58
114,72
116,77
104,93
104,99
106,115
113,105
105,132
107,121
93,131
99,127
68,128
69,127
51,130
56,120
34,134
49,124
18,125
28,119
2,131
8,124
-12,125
-4,120
-32,120
-25,119
-50,133
-43,120
-66,135
-65,132
-85,120
-83,124
-94,128
-89,121
-119,133
-117,125
-115,103
-105,112
-118,99
-109,99
-108,74
-105,69
-117,54
-117,57
-106,36
-106,46
-107,30
-103,18
-118,5
-103,14
-118,-9
-107,-3
-107,-28
-104,-30
-111,-46
-103,-50
-116,-68
-108,-61
-117,-83
-103,-75
-116,-100
-115,-94
-118,-103
-114,-106
-98,-104
-93,-106
-84,-114
-73,-116
-55,-106
-52,-105
-45,-108
-37,-108
-23,-104
-21,-112
-14,-107
-7,-106
11,-107
16,-114
23,-112
28,-116
40,-113
43,-116
62,-112
64,-113
69,-109
71,-110
92,-118
95,-104
104,-109
118,-107
126,-107
135,-109
119,-94
123,-94
126,-77
129,-80
121,-53
135,-66
121,-36
126,-46
127,-30
130,-28
122,-13
131,-4
121,5
131,8
125,32
128,26
119,47
134,47
127,55
135,54
131,83
132,76
119,86
119,93
123,103
135,109
129,133
132,133
119,150
126,149
108,149
110,141
96,148
97,148
79,143
83,152
57,138
65,149
34,143
40,150
25,147
28,136
11,136
11,151
-15,152
-5,146
-33,142
-29,137
-40,148
-37,142
-67,141
-61,138
-83,142
-71,146
-95,144
-94,136
-114,142
-112,147
-136,152
-133,143
-124,133
-120,134
-136,112
-129,108
-132,87
-130,87
-124,78
-121,69
-132,67
-123,53
-126,42
-124,37
-126,31
-121,24
-133,10
-124,5
-122,-8
-121,-17
-128,-25
-126,-31
-129,-47
-129,-37
-130,-64
-129,-53
-136,-74
-123,-70
-133,-99
-131,-90
-134,-119
-133,-119
-130,-127
-129,-126
-115,-125
-110,-130
-97,-129
-91,-127
-83,-124
-76,-136
-64,-124
-54,-121
-35,-121
-35,-120
-33,-130
-29,-126
-15,-126
-2,-129
3,-135
10,-136
17,-120
26,-125
41,-135
43,-128
61,-133
67,-122
71,-122
82,-132
90,-131
96,-131
109,-122
111,-127
126,-131
135,-127
143,-126
147,-136
150,-119
150,-117
137,-102
152,-88
148,-70
149,-84
138,-61
140,-67
147,-42
148,-37
144,-28
146,-27
145,-11
147,-17
146,14
147,3
138,28
151,18
137,46
144,40
140,55
145,51
137,75
152,72
142,93
151,99
139,114
139,116
142,130
146,122
137,144
139,136
141,167
148,156
120,169
123,159
112,168
114,158
87,156
95,160
73,159
77,153
58,156
58,169
36,154
38,161
24,164
29,166
3,155
16,158
-10,163
-4,169
-26,157
-22,157
-51,163
-45,158
-64,156
-55,154
-84,157
-76,169
-100,155
-98,156
-116,155
-106,161
-128,164
-127,167
-147,155
-139,164
-153,140
-151,143
-150,125
-147,123
-147,117
-140,110
-148,100
-141,99
-148,71
-148,76
-153,56
-138,63
-149,40
-149,47
-138,31
-137,21
-145,13
-143,13
-144,-5
-138,-13
-146,-24
-142,-25
-144,-36
-142,-44
-145,-68
-142,-53
-153,-79
-139,-75
-149,-99
-138,-89
-153,-104
-137,-108
-153,-136
-146,-123
-152,-149
-139,-146
-129,-141
-126,-138
-109,-152
-107,-149
-102,-147
-95,-153
-74,-137
-69,-148
-57,-143
-56,-138
-51,-139
-50,-153
-25,-147
-19,-148
-17,-143
-2,-143
9,-141
9,-137
17,-152
29,-148
45,-137
49,-141
51,-149
54,-143
69,-149
73,-149
87,-145
101,-144
103,-142
115,-149
121,-144
125,-152
138,-145
146,-143
161,-138
165,-140
154,-120
166,-127
160,-113
168,-110
156,-89
161,-89
155,-83
156,-73
160,-63
160,-55
153,-37
165,-48
160,-32
169,-30
157,-3
163,-9
153,13
168,0
155,26
163,25
157,47
164,48
161,52
164,63
153,80
160,71
164,86
169,91
154,108
156,108
154,124
164,119
160,152
165,139
159,153
163,164
157,180
160,171
139,185
140,172
125,183
130,174
103,183
113,185
85,180
89,181
70,175
80,172
56,172
62,182
35,180
43,179
30,179
31,174
2,173
4,182
-8,173
-6,173
-28,184
-24,177
-49,181
-48,174
-58,185
-52,175
-80,170
-69,182
-95,180
-91,176
-115,179
-106,177
-123,175
-123,176
-152,177
-146,175
-162,178
-154,171
-163,164
-162,157
-170,136
-154,142
-168,119
-164,134
-159,105
-156,112
-159,94
-154,101
-170,73
-162,82
-166,67
-161,51
-160,40
-160,50
-167,24
-166,27
-169,2
-160,7
-169,-9
-164,-14
-166,-32
-156,-32
-170,-39
-159,-43
-161,-57
-161,-52
-165,-76
-156,-80
-165,-93
-163,-102
-161,-109
-159,-115
-169,-128
-168,-123
-167,-138
-164,-148
-162,-156
-155,-164
-144,-154
-141,-158
-123,-161
-123,-154
-119,-164
-115,-168
-91,-166
-86,-160
-83,-163
-72,-169
-60,-169
-55,-160
-44,-161
-36,-159
-34,-164
-23,-164
-11,-170
-3,-158
12,-166
13,-169
28,-168
28,-161
34,-155
46,-169
56,-156
62,-160
68,-158
76,-167
100,-156
101,-164
110,-155
118,-161
127,-160
128,-166
138,-156
143,-157
155,-163
158,-165
173,-156
176,-170
180,-137
186,-138
171,-131
179,-134
178,-115
180,-104
184,-87
185,-99
171,-72
180,-75
171,-66
181,-61
177,-36
178,-40
181,-30
186,-24
171,-12
182,-13
179,9
183,0
184,20
186,24
176,37
183,35
182,58
186,66
174,76
180,73
172,92
186,95
178,117
182,104
172,134
177,119
172,138
177,138
174,160
182,161
179,175
180,181
172,192
176,198
158,190
169,198
150,190
151,193
121,197
134,200
108,188
112,194
94,191
96,202
78,197
83,201
52,197
63,202
36,198
44,194
18,194
19,202
10,193
16,193
-14,193
